Issue Type,Issue key,Summary,Priority,Custom field (Story point estimate),Depends On,Custom field (Frontend Estimate (days)),Custom field (Backend Estimate (days)),Custom field (Impacted Areas),Custom field (Impacted Areas),Description
Epic,PB-21,CO-1: Customer Shopping Cart,High,15,,12,3,Backend,Frontend,"Enable customers to add, update, and remove products from a shopping cart before placing an order."
Epic,PB-22,CO-2: Order Review & Checkout,High,12,PB-21,12,,Frontend,,"Provide a checkout experience allowing customers to review their order, enter shipping information, and confirm their purchase."
Epic,PB-23,CO-3: Payment Processing,High,15,PB-22,3,12,Backend,Frontend,Securely process customer payments using supported payment methods and validate successful authorization before order submission.
Epic,PB-24,CO-4: Order Confirmation & Notifications,High,3,PB-22,1,2,Backend,Frontend,Generate an order confirmation and notify customers through email or SMS after a successful purchase.
Epic,PB-25,CO-5: Order Status & Tracking,High,10,,6,4,Backend,Frontend,"Allow customers to view current order status, shipment progress, and estimated delivery information."
Epic,PB-26,CO-6: Order History,Medium,10,,6,4,Backend,Frontend,"Provide customers with access to previous orders, order details, and the ability to reorder previously purchased items."
Epic,PB-8,FR-1 - The system shall allow authenticated customers to update their mailing address through the customer portal.,High,1,,1,,Frontend,,"Business capability: Enable authenticated customers to update their mailing address through the existing self-service portal. Customer value: Customers can maintain accurate address information without contacting Customer Support, improving convenience and reducing support workload. Expected outcome: A submitted mailing-address change is validated, processed, reflected in the customer profile, recorded in the audit history, and made visible through request status. Assumptions: The customer is authenticated; an existing customer profile is available; the customer portal, Customer Profile Service, and Address Validation Service are available. Architecture considerations: Reuse the existing portal, Identity Provider, API Gateway, Customer Profile Service, Profile Data Store, Address Validation Service, audit logging, and cloud platform. Protect PII, enforce identity and tenant authorization, validate and normalize addresses, preserve existing profile-viewing functionality, meet performance and availability objectives, and support reliable processing across multiple availability zones."
Epic,PB-17,FR-10 - The system shall return processing status to the customer.,High,2,,1,1,Backend,Frontend,"Business capability: Provide customer-visible status for an accepted profile-update request. Customer value: Customers understand whether their request is processing, completed, or failed without contacting Customer Support. Expected outcome: The portal uses the request identifier to retrieve and display a current, tenant-scoped processing status and final outcome. Assumptions: Accepted requests are assigned a durable request identifier and the Customer Profile Service can maintain request state. Architecture considerations: Reuse the portal, API Gateway, and profile service status capability; enforce authorization and tenant isolation; meet response-time and availability targets; protect PII; retain failed requests for investigation; and ensure status remains accurate during retries, recovery, and staged rollout."
Epic,PB-18,FR-11 - The system shall record all profile changes in an audit log.,High,6,PB-16,,6,Backend,,"Business capability: Maintain a complete audit history for accepted customer profile changes. Customer value: Supports trust, issue investigation, compliance, and accountability for changes to sensitive profile information. Expected outcome: Each accepted update records the actor, timestamp, tenant, request identifier, changed fields, prior values, new values, and result in a tamper-resistant audit record. Assumptions: An approved audit logging capability exists and retention and support-search requirements will be resolved. Architecture considerations: Protect PII, encrypt audit data, enforce tenant-scoped access, maintain tamper resistance, keep audit and profile-update outcomes consistent, support required retention policies, avoid exposing sensitive values in operational logs, and provide sufficient reliability so no completed change lacks an audit record."
Epic,PB-19,FR-12 - The system shall notify the customer when processing completes successfully.,High,3,PB-16,,3,Backend,,"Business capability: Notify the customer after a profile-update request completes successfully. Customer value: Provides confirmation that requested changes were completed and reduces uncertainty or repeat submissions. Expected outcome: A profile-update confirmation is sent through the existing Email Notification Service after successful processing. Assumptions: The notification service is available; a profile-update template and event or request type can be created; confirmation emails are required unless the open product decision changes. Architecture considerations: Reuse the existing notification integration, protect PII, use the customer's confirmed email address, propagate correlation information, monitor notification failures, scale with request volume, and define whether notification delivery failure changes the customer-visible completion status."
Epic,PB-20,FR-13 - The system shall return meaningful error messages when processing cannot be completed with contact information to report the problem.,Low,3,PB-15,2,1,Backend,Frontend,"Business capability: Provide meaningful customer-facing errors and support contact information when a profile-update request cannot be completed. Customer value: Customers understand that the request failed, know what action to take, and can obtain assistance without ambiguity. Expected outcome: Failed requests reach a visible terminal status with an actionable message, a support path, and an operationally useful error reference while retained for investigation. Assumptions: Operational error categories and approved Customer Support contact information are available. Architecture considerations: Translate internal failures into safe customer messages, avoid exposing PII or implementation details, retain correlation identifiers and failed-request state, enforce tenant-scoped status access, monitor and alert on sustained failures, support recovery procedures, and meet accessibility, reliability, and privacy standards."
Epic,PB-9,FR-2 - The system shall allow authenticated customers to update their email address through the customer portal.,Medium,5,,1,4,Backend,Frontend,"Business capability: Enable authenticated customers to update their email address through the existing self-service portal. Customer value: Customers can maintain accurate contact information without Customer Support intervention and receive communications at the correct address. Expected outcome: A valid email-address change is securely processed, reflected in the customer profile, recorded in the audit history, and available through request status. Assumptions: The customer is authenticated; an existing customer profile is available; existing customer data services support profile updates. Architecture considerations: Reuse the existing portal, Identity Provider, API Gateway, Customer Profile Service, Profile Data Store, audit logging, and cloud platform. Protect PII, enforce tenant isolation and authorization, apply required-field and format validation, consider whether ownership verification or step-up authentication is required, and meet reliability, performance, availability, and privacy requirements."
